timestamp,system_time,machine_id,logical_clock,event_type,queue_length,message,vm_id,clock_rate,time_since_start,prev_lc,lc_jump
2025-02-27 18:22:19,1740698539.0,2,20,internal,0,2025-02-27 18:22:19.f - M2 [LC:20] Internal event,2,4,3.0,17.0,-1.0
2025-02-27 18:22:19,1740698539.0,1,16,internal,0,2025-02-27 18:22:19.f - M1 [LC:16] Internal event,1,5,3.0,17.0,-1.0
2025-02-27 18:22:19,1740698539.0,1,19,internal,0,2025-02-27 18:22:19.f - M1 [LC:19] Internal event,1,5,3.0,16.0,3.0
2025-02-27 18:22:19,1740698539.0,1,20,send_one,0,2025-02-27 18:22:19.f - M1 [LC:20] Sent message to VM 0,1,5,3.0,19.0,1.0
2025-02-27 18:22:19,1740698539.0,1,18,send_one,0,2025-02-27 18:22:19.f - M1 [LC:18] Sent message to VM 2,1,5,3.0,20.0,-2.0
2025-02-27 18:22:20,1740698540.0,1,25,internal,0,2025-02-27 18:22:20.f - M1 [LC:25] Internal event,1,5,4.0,26.0,-1.0
2025-02-27 18:22:20,1740698540.0,1,26,internal,0,2025-02-27 18:22:20.f - M1 [LC:26] Internal event,1,5,4.0,18.0,8.0
2025-02-27 18:22:20,1740698540.0,1,23,send_one,0,2025-02-27 18:22:20.f - M1 [LC:23] Sent message to VM 0,1,5,4.0,25.0,-2.0
2025-02-27 18:22:20,1740698540.0,2,24,internal,0,2025-02-27 18:22:20.f - M2 [LC:24] Internal event,2,4,4.0,19.0,1.0
2025-02-27 18:22:20,1740698540.0,2,23,internal,0,2025-02-27 18:22:20.f - M2 [LC:23] Internal event,2,4,4.0,16.0,3.0
2025-02-27 18:22:20,1740698540.0,2,22,send_all,0,2025-02-27 18:22:20.f - M2 [LC:22] Sent messages to all VMs,2,4,4.0,20.0,-2.0
2025-02-27 18:22:20,1740698540.0,2,21,send_one,0,2025-02-27 18:22:20.f - M2 [LC:21] Sent message to VM 1,2,4,4.0,14.0,3.0
2025-02-27 18:22:20,1740698540.0,1,22,receive,0,2025-02-27 18:22:20.f - M1 [LC:22] Received message. Queue length: 0,1,5,4.0,23.0,-1.0
2025-02-27 18:22:20,1740698540.0,0,21,receive,0,2025-02-27 18:22:20.f - M0 [LC:21] Received message. Queue length: 0,0,2,4.0,0.0,9.0
2025-02-27 18:22:20,1740698540.0,0,24,receive,1,2025-02-27 18:22:20.f - M0 [LC:24] Received message. Queue length: 1,0,2,4.0,9.0,1.0
2025-02-27 18:22:20,1740698540.0,1,24,receive,0,2025-02-27 18:22:20.f - M1 [LC:24] Received message. Queue length: 0,1,5,4.0,22.0,2.0
2025-02-27 18:22:21,1740698541.0,1,27,internal,0,2025-02-27 18:22:21.f - M1 [LC:27] Internal event,1,5,5.0,24.0,3.0
2025-02-27 18:22:21,1740698541.0,1,28,internal,0,2025-02-27 18:22:21.f - M1 [LC:28] Internal event,1,5,5.0,27.0,1.0
2025-02-27 18:22:21,1740698541.0,1,29,send_one,0,2025-02-27 18:22:21.f - M1 [LC:29] Sent message to VM 0,1,5,5.0,28.0,1.0
2025-02-27 18:22:21,1740698541.0,1,30,send_all,0,2025-02-27 18:22:21.f - M1 [LC:30] Sent messages to all VMs,1,5,5.0,29.0,1.0
2025-02-27 18:22:21,1740698541.0,2,25,internal,0,2025-02-27 18:22:21.f - M2 [LC:25] Internal event,2,4,5.0,23.0,-1.0
2025-02-27 18:22:21,1740698541.0,2,26,internal,0,2025-02-27 18:22:21.f - M2 [LC:26] Internal event,2,4,5.0,25.0,-2.0
2025-02-27 18:22:21,1740698541.0,2,27,internal,0,2025-02-27 18:22:21.f - M2 [LC:27] Internal event,2,4,5.0,22.0,2.0
2025-02-27 18:22:21,1740698541.0,2,31,receive,0,2025-02-27 18:22:21.f - M2 [LC:31] Received message. Queue length: 0,2,4,5.0,26.0,-1.0
2025-02-27 18:22:21,1740698541.0,0,25,receive,0,2025-02-27 18:22:21.f - M0 [LC:25] Received message. Queue length: 0,0,2,5.0,7.0,4.0
2025-02-27 18:22:21,1740698541.0,0,30,receive,0,2025-02-27 18:22:21.f - M0 [LC:30] Received message. Queue length: 0,0,2,5.0,13.0,-1.0
2025-02-27 18:22:22,1740698542.0,0,33,receive,1,2025-02-27 18:22:22.f - M0 [LC:33] Received message. Queue length: 1,0,2,6.0,15.0,-1.0
2025-02-27 18:22:22,1740698542.0,1,33,receive,0,2025-02-27 18:22:22.f - M1 [LC:33] Received message. Queue length: 0,1,5,6.0,31.0,2.0
2025-02-27 18:22:22,1740698542.0,1,34,internal,0,2025-02-27 18:22:22.f - M1 [LC:34] Internal event,1,5,6.0,33.0,1.0
2025-02-27 18:22:22,1740698542.0,1,35,receive,0,2025-02-27 18:22:22.f - M1 [LC:35] Received message. Queue length: 0,1,5,6.0,36.0,-1.0
2025-02-27 18:22:22,1740698542.0,1,36,internal,0,2025-02-27 18:22:22.f - M1 [LC:36] Internal event,1,5,6.0,30.0,6.0
2025-02-27 18:22:22,1740698542.0,2,32,send_all,0,2025-02-27 18:22:22.f - M2 [LC:32] Sent messages to all VMs,2,4,6.0,18.0,8.0
2025-02-27 18:22:22,1740698542.0,2,33,send_all,0,2025-02-27 18:22:22.f - M2 [LC:33] Sent messages to all VMs,2,4,6.0,24.0,3.0
2025-02-27 18:22:22,1740698542.0,0,31,receive,0,2025-02-27 18:22:22.f - M0 [LC:31] Received message. Queue length: 0,0,2,6.0,11.0,2.0
2025-02-27 18:22:22,1740698542.0,2,35,send_one,0,2025-02-27 18:22:22.f - M2 [LC:35] Sent message to VM 0,2,4,6.0,28.0,1.0
